DIVIPOLA,DEPARTAMENTO,MUNICIPIO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
05001,ANTIOQUIA,MEDELLIN,10040,4500,21000,23033,7436,19346,10043,16294,17301,26847,27284,17642,29460,16096,9952,2637
05002,ANTIOQUIA,ABEJORRAL,0,0,91,56,6,129,42,26,58,35,15,53,28,45,11,17
05004,ANTIOQUIA,ABRIAQUI,0,0,0,0,0,0,0,,6,0,3,9,0,7,0,3
05021,ANTIOQUIA,ALEJANDRIA,0,0,860,0,0,0,10,,12,,13,37,7,11,3,0
05030,ANTIOQUIA,AMAGA,0,0,0,8,0,10,51,24,37,16,15,40,10,71,131,47
05031,ANTIOQUIA,AMALFI,0,0,50,0,4,21,0,22,39,48,31,149,5941,274,286,51
05034,ANTIOQUIA,ANDES,20,0,0,15,1,48,0,,16,24,19,209,46,152,147,71
05036,ANTIOQUIA,ANGELOPOLIS,120,0,135,0,0,7,0,,0,0,14,27,11,12,68,1
05038,ANTIOQUIA,ANGOSTURA,0,0,0,0,0,0,0,,7,1,,61,6,34,75,32
05040,ANTIOQUIA,ANORI,0,0,160,0,3,248,45,26,102,2050,46,191,5045,335,352,65
05042,ANTIOQUIA,SANTAFE DE ANTIOQUIA,0,60,25,40,55,22,0,,86,43,16,45,40,73,40,13
05044,ANTIOQUIA,ANZA,0,2800,0,0,0,30,0,,0,6,,40,10,21,20,5
05045,ANTIOQUIA,APARTADO,550,395,1420,824,746,1443,1287,1314,1634,2635,2575,2983,767,1070,1058,362
05051,ANTIOQUIA,ARBOLETES,0,259,60,4,0,0,3,9,49,10,,211,21,197,145,36
05055,ANTIOQUIA,ARGELIA,0,0,0,1025,1648,708,993,1747,79,153,34,47,249,79,56,23
05059,ANTIOQUIA,ARMENIA,0,0,0,0,16,10,0,,0,0,,0,0,67,56,9
05079,ANTIOQUIA,BARBOSA,0,550,212,98,63,71,39,9,77,66,46,91,55,112,119,40
05086,ANTIOQUIA,BELMIRA,0,0,0,0,0,0,0,,0,,4,22,3,9,29,7
05088,ANTIOQUIA,BELLO,600,20,313,668,549,723,397,568,734,3175,4924,3115,1423,615,607,346
05091,ANTIOQUIA,BETANIA,0,100,0,0,6,0,0,8,15,5,17,22,0,17,34,7
05093,ANTIOQUIA,BETULIA,550,1522,101,0,3,12,29,31,18,44,73,169,39,68,46,16
05101,ANTIOQUIA,CIUDAD BOLIVAR,0,0,0,0,0,24,19,,6,19,14,92,29,87,82,14
05107,ANTIOQUIA,BRICEÑO,0,124,0,4,21,0,0,16,12,21,9,163,8,416,372,129
05113,ANTIOQUIA,BURITICA,18,22,2550,0,0,15,32,,19,0,6,31,7,50,81,22
05120,ANTIOQUIA,CACERES,40,0,410,5,14,85,0,25,87,170,138,1579,664,1231,627,358
05125,ANTIOQUIA,CAICEDO,0,0,0,0,16,5,0,20,0,24,11,151,10,76,60,34
05129,ANTIOQUIA,CALDAS,0,0,120,53,129,19,48,37,42,32,25,87,90,68,135,29
05134,ANTIOQUIA,CAMPAMENTO,0,50,0,0,6,0,0,,0,6,19,151,15,157,127,58
05138,ANTIOQUIA,CAÑASGORDAS,40,50,150,0,21,7,0,7,6,25,20,206,27,128,123,38
05142,ANTIOQUIA,CARACOLI,0,0,0,0,0,0,0,,0,,,34,16,31,14,3
05145,ANTIOQUIA,CARAMANTA,0,0,45,0,0,0,0,,0,0,,17,4,10,7,0
05147,ANTIOQUIA,CAREPA,3150,1000,1890,177,31,75,135,85,215,174,298,297,251,359,409,142
05148,ANTIOQUIA,EL CARMEN DE VIBORAL,0,198,423,204,756,246,328,44,157,27,49,89,38,51,65,21
05150,ANTIOQUIA,CAROLINA,0,30,10,37,0,0,0,,0,,1,10,2,17,7,1
05154,ANTIOQUIA,CAUCASIA,160,0,250,276,100,143,376,126,271,568,762,3323,1009,835,866,272
05172,ANTIOQUIA,CHIGORODO,360,395,280,150,0,40,88,58,106,389,221,681,298,937,458,165
05190,ANTIOQUIA,CISNEROS,34,0,85,0,0,0,23,9,2,26,9,49,55,33,27,20
05197,ANTIOQUIA,COCORNA,0,2325,0,93,449,1280,46,35,176,58,56,80,30,65,106,25
05206,ANTIOQUIA,CONCEPCION,57,75,255,45,66,6,0,,0,5,17,12,1,5,0,0
05209,ANTIOQUIA,CONCORDIA,198,35,80,0,12,7,0,11,11,7,10,80,15,70,57,10
05212,ANTIOQUIA,COPACABANA,0,0,60,67,110,26,59,38,76,87,98,61,170,43,70,23
05234,ANTIOQUIA,DABEIBA,694,202,183,25,163,1006,42,75,106,235,96,616,57,489,221,69
05237,ANTIOQUIA,DON MATIAS,0,0,0,0,12,522,15,,21,68,66,16,47,68,37,11
05240,ANTIOQUIA,EBEJICO,0,0,0,20,0,5,0,,0,0,9,41,0,52,33,8
05250,ANTIOQUIA,EL BAGRE,0,1400,110,31,0,218,51,20,86,93,49,772,180,786,2336,477
05264,ANTIOQUIA,ENTRERRIOS,0,0,0,0,0,0,0,,7,0,,9,17,7,15,4
05266,ANTIOQUIA,ENVIGADO,0,0,323,55,34,170,73,61,76,74,124,43,688,40,41,1
05282,ANTIOQUIA,FREDONIA,0,0,0,0,0,0,0,,0,7,7,30,36,13,50,20
05284,ANTIOQUIA,FRONTINO,165,1000,55,20,74,23,0,16,18,53,58,182,39,157,114,27
05306,ANTIOQUIA,GIRALDO,0,0,0,0,0,0,0,,0,5,12,13,0,7,20,11
05308,ANTIOQUIA,GIRARDOTA,0,0,134,52,10,0,58,21,24,24,32,9,78,21,63,67
05310,ANTIOQUIA,GOMEZ PLATA,0,60,0,0,0,0,0,,0,,,21,13,19,22,12
05313,ANTIOQUIA,GRANADA,465,80,449,2136,410,590,79,274,34,188,26,45,24,38,10,12
05315,ANTIOQUIA,GUADALUPE,0,0,0,0,15,0,0,,4,0,,74,10,75,34,6
05318,ANTIOQUIA,GUARNE,0,40,144,93,19,71,17,36,79,47,46,19,66,27,16,15
05321,ANTIOQUIA,GUATAPE,86,0,229,7,12,0,0,9,0,17,,8,8,3,5,3
05347,ANTIOQUIA,HELICONIA,0,140,60,0,0,0,0,,0,1,,16,12,44,19,9
05353,ANTIOQUIA,HISPANIA,0,0,0,0,0,0,0,,0,0,,1,0,17,10,6
05360,ANTIOQUIA,ITAGUI,0,19,230,374,177,199,243,173,215,380,602,511,1188,480,472,100
05361,ANTIOQUIA,ITUANGO,261,4050,820,1420,13,1608,166,23,594,565,1722,2176,828,928,742,225
05364,ANTIOQUIA,JARDIN,41,0,40,0,0,0,3,16,7,8,3,40,0,31,20,13
05368,ANTIOQUIA,JERICO,0,0,0,0,0,0,19,,0,0,,18,10,16,1,1
05376,ANTIOQUIA,LA CEJA,0,400,268,84,237,164,304,96,122,126,189,34,41,36,19,13
05380,ANTIOQUIA,LA ESTRELLA,0,0,55,36,55,31,40,15,29,47,79,23,84,109,108,9
05390,ANTIOQUIA,LA PINTADA,0,0,63,0,4,0,0,,0,1,,27,8,24,3,3
05400,ANTIOQUIA,LA UNION,0,700,60,105,163,99,52,31,67,59,30,37,28,38,32,0
05411,ANTIOQUIA,LIBORINA,25,0,0,0,0,0,0,16,0,1,8,31,20,33,21,5
05425,ANTIOQUIA,MACEO,0,0,0,14,32,7,0,9,14,35,36,67,8,33,32,10
05440,ANTIOQUIA,MARINILLA,0,222,413,282,311,86,90,26,42,97,76,41,84,43,34,13
05467,ANTIOQUIA,MONTEBELLO,0,0,212,0,46,19,0,,7,8,,28,3,32,35,2
05475,ANTIOQUIA,MURINDO,0,3057,770,14,0,294,47,,37,25,,45,0,39,38,6
05480,ANTIOQUIA,MUTATA,1080,198,207,125,10,84,0,3092,286,318,411,229,37,596,278,50
05483,ANTIOQUIA,NARIÑO,0,0,10,30,260,151,164,1366,122,21,23,110,50,85,168,61
05490,ANTIOQUIA,NECOCLI,55,52,116,78,0,21,0,,40,2,34,284,4,245,280,65
05495,ANTIOQUIA,NECHI,100,0,125,0,0,43,223,14,63,500,112,1640,248,388,267,106
05501,ANTIOQUIA,OLAYA,0,0,0,0,0,0,0,,0,0,,34,0,4,27,8
05541,ANTIOQUIA,PEÑOL,0,72,389,22,437,24,0,50,3,9,16,26,17,67,21,26
05543,ANTIOQUIA,PEQUE,0,400,5535,0,24,396,0,,8,11,7,222,7,30,67,23
05576,ANTIOQUIA,PUEBLORRICO,0,0,0,25,0,12,0,,0,1,5,22,4,47,30,3
05579,ANTIOQUIA,PUERTO BERRIO,0,0,108,79,48,10,55,9,4,57,48,471,86,473,518,104
05585,ANTIOQUIA,PUERTO NARE,5,0,1250,870,4,25,38,,34,5,7,69,4,91,51,42
05591,ANTIOQUIA,PUERTO TRIUNFO,39,0,897,178,182,125,57,11,73,45,27,85,31,46,62,7
05604,ANTIOQUIA,REMEDIOS,281,450,715,30,41,13,28,27,792,40,80,155,124,1006,498,59
05607,ANTIOQUIA,RETIRO,0,322,296,4,1,25,0,,7,36,,4,8,9,10,0
05615,ANTIOQUIA,RIONEGRO,0,400,394,417,620,746,241,171,212,247,154,69,181,138,60,31
05628,ANTIOQUIA,SABANALARGA,95,15,415,0,0,5,0,,1,0,9,147,15,91,129,42
05631,ANTIOQUIA,SABANETA,0,0,131,74,63,14,32,,60,28,35,123,56,20,12,9
05642,ANTIOQUIA,SALGAR,75,0,0,40,12,31,0,,6,18,31,111,39,232,100,49
05647,ANTIOQUIA,SAN ANDRES DE CUERQUIA,0,0,30,0,0,20,17,,9,22,14,66,35,144,93,38
05649,ANTIOQUIA,SAN CARLOS,233,80,245,562,1680,2120,35,15,59,113,36,137,62,56,30,11
05652,ANTIOQUIA,SAN FRANCISCO,27,500,79,0,1760,2901,542,12,191,72,,28,18,41,9,18
05656,ANTIOQUIA,SAN JERONIMO,0,0,35,0,0,0,0,,0,,,13,11,5,9,2
05658,ANTIOQUIA,SAN JOSE DE LA MONTAÑA,0,0,0,0,0,0,0,,0,0,,18,0,17,27,0
05659,ANTIOQUIA,SAN JUAN DE URABA,0,93,0,17,0,5,31,,101,29,24,91,26,207,164,63
05660,ANTIOQUIA,SAN LUIS,291,1600,1894,766,2893,1084,20,16,75,65,64,76,43,54,33,7
05664,ANTIOQUIA,SAN PEDRO,0,0,0,3,29,8,0,,0,1,6,75,11,109,98,19
05665,ANTIOQUIA,SAN PEDRO DE URABA,116,0,651,6,6,74,0,19,57,59,40,215,35,153,146,70
05667,ANTIOQUIA,SAN RAFAEL,83,2500,127,905,28,1248,47,79,55,262,67,105,47,39,35,4
05670,ANTIOQUIA,SAN ROQUE,0,0,0,0,775,66,24,,2,29,23,84,47,69,92,14
05674,ANTIOQUIA,SAN VICENTE,0,85,114,125,53,17,0,14,16,11,17,63,10,63,24,11
05679,ANTIOQUIA,SANTA BARBARA,0,52,158,33,17,23,0,,19,34,40,43,21,30,53,21
05686,ANTIOQUIA,SANTA ROSA DE OSOS,0,66,40,2,6,0,0,,28,,6,27,84,376,126,31
05690,ANTIOQUIA,SANTO DOMINGO,232,40,311,5,7,15,20,,36,13,3,58,26,42,73,29
05697,ANTIOQUIA,EL SANTUARIO,68,1380,449,83,212,40,68,27,10,,23,5,52,19,21,0
05736,ANTIOQUIA,SEGOVIA,30,240,158,70,269,27,141,11,56,112,113,397,53,2063,1134,169
05756,ANTIOQUIA,SONSON,0,80,192,342,1030,215,108,43,145,804,705,229,90,166,110,38
05761,ANTIOQUIA,SOPETRAN,0,0,0,27,3,0,9,,3,0,19,158,17,46,49,28
05789,ANTIOQUIA,TAMESIS,18,30,148,0,0,5,0,,0,3,,9,18,38,19,3
05790,ANTIOQUIA,TARAZA,0,0,1500,0,19,31,46,115,170,3908,1544,1261,3132,1030,2182,353
05792,ANTIOQUIA,TARSO,0,0,0,0,0,0,0,,2,0,,11,10,17,6,0
05809,ANTIOQUIA,TITIRIBI,0,0,0,2,0,0,0,,0,,,6,2,14,19,12
05819,ANTIOQUIA,TOLEDO,830,0,45,0,0,10,0,,0,3,,127,13,159,90,39
05837,ANTIOQUIA,TURBO,500,136,350,215,276,464,228,104,276,622,780,937,8935,1823,1981,534
05842,ANTIOQUIA,URAMITA,170,450,435,24,5,0,26,9,37,15,16,145,44,119,78,21
05847,ANTIOQUIA,URRAO,516,7450,0,71,98,565,1023,35,2767,549,211,710,193,408,364,112
05854,ANTIOQUIA,VALDIVIA,4,0,0,10,47,17,33,,50,4150,327,795,47,422,256,107
05856,ANTIOQUIA,VALPARAISO,0,0,0,0,4,14,0,,0,0,2,5,3,9,5,0
05858,ANTIOQUIA,VEGACHI,0,0,20,15,4,8,0,,0,24,4,190,38,422,328,32
05861,ANTIOQUIA,VENECIA,0,0,0,0,2,5,0,,0,3,11,18,24,19,29,6
05873,ANTIOQUIA,VIGIA DEL FUERTE,383,0,0,0,201,21,15,,0,2,10,305,0,736,116,33
05885,ANTIOQUIA,YALI,300,0,400,0,6,41,32,,0,,,62,0,42,29,5
05887,ANTIOQUIA,YARUMAL,0,195,166,15,29,31,23,,43,276,101,337,136,648,419,157
05890,ANTIOQUIA,YOLOMBO,382,0,233,29,5,7,0,,18,12,2,124,12,107,94,25
05893,ANTIOQUIA,YONDO,670,3485,923,190,70,13,0,125,119,252,92,177,31,121,131,19
05895,ANTIOQUIA,ZARAGOZA,0,0,1150,0,2541,94,175,,44,533,313,910,329,731,668,183
08001,ATLANTICO,BARRANQUILLA,3890,16048,5020,5502,1423,3033,6093,2427,3916,2689,2324,288,1325,298,328,116
08078,ATLANTICO,BARANOA,0,0,100,79,24,38,86,24,34,42,29,36,11,13,26,13
08137,ATLANTICO,CAMPO DE LA CRUZ,70,0,15,125,0,8,21,,0,4,9,0,0,0,0,4
08141,ATLANTICO,CANDELARIA,0,15,0,0,0,0,44,,0,0,,12,0,0,0,0
08296,ATLANTICO,GALAPA,225,0,138,34,35,144,147,211,58,56,29,40,35,24,20,7
08372,ATLANTICO,JUAN DE ACOSTA,60,0,0,8,0,0,0,,0,,,4,0,5,0,0
08421,ATLANTICO,LURUACO,0,0,50,40,0,79,32,9,7,5,7,8,4,4,40,26
08433,ATLANTICO,MALAMBO,785,230,335,725,213,1162,599,302,355,320,187,43,127,59,57,10
08436,ATLANTICO,MANATI,0,0,32,42,5,8,11,,0,7,,19,0,0,0,0
08520,ATLANTICO,PALMAR DE VARELA,300,120,0,73,10,30,35,,0,1,,8,8,0,0,0
08549,ATLANTICO,PIOJO,0,0,0,0,0,0,5,,0,,,0,4,0,0,8
08558,ATLANTICO,POLONUEVO,153,49,0,38,16,6,17,,2,1,,3,0,0,1,0
08560,ATLANTICO,PONEDERA,64,1250,642,53,3,10,10,10,8,4,,5,0,0,2,0
08573,ATLANTICO,PUERTO COLOMBIA,90,0,100,85,9,0,42,,55,24,16,0,46,0,24,9
08606,ATLANTICO,REPELON,25,0,20,77,0,0,16,,0,13,1,10,0,10,1,0
08634,ATLANTICO,SABANAGRANDE,491,373,157,123,17,16,58,49,53,53,29,21,11,5,29,4
08638,ATLANTICO,SABANALARGA,356,0,83,148,28,16,46,25,27,44,18,31,37,30,11,11
08675,ATLANTICO,SANTA LUCIA,0,0,40,162,0,0,0,,0,3,4,9,0,0,0,2
08685,ATLANTICO,SANTO TOMAS,85,695,296,76,60,39,96,148,49,25,19,12,17,9,0,0
08758,ATLANTICO,SOLEDAD,1079,670,1085,3559,1013,1962,2843,1838,966,2938,1014,155,1458,132,171,76
08770,ATLANTICO,SUAN,0,1373,208,12,0,0,0,17,7,0,,0,0,0,0,0
08832,ATLANTICO,TUBARA,0,69,0,63,13,16,12,14,10,8,11,10,3,0,0,0
08849,ATLANTICO,USIACURI,0,0,0,7,678,0,0,,0,0,,4,0,0,0,0
11001,BOGOTA,BOGOTA. D.C.,33143,43780,53520,51737,13074,31491,39176,31670,44791,56087,42999,26352,41246,626,387,178
13001,BOLIVAR,CARTAGENA,6640,3858,5746,5825,3888,7069,9992,11178,6216,4364,4477,2705,1592,339,286,131
13006,BOLIVAR,ACHI,375,50,55,47,71,56,29,13,3,6,,225,21,223,256,84
