"displ_1999","displ_2000","displ_2001","displ_2002","displ_2003","displ_2004","displ_2005","displ_2006","displ_2007","displ_2008","displ_2009","displ_2010","displ_2011","displ_2012","displ_2013","displ_2014","admin2Pcod","displ_mean"
10040,4500,21000,23033,7436,19346,10043,16294,17301,26847,27284,17642,29460,16096,9952,2637,"CO05001",16181.9375
0,0,91,56,6,129,42,26,58,35,15,53,28,45,11,17,"CO05002",38.25
0,0,0,0,0,0,0,NA,6,0,3,9,0,7,0,3,"CO05004",1.86666666666667
0,0,860,0,0,0,10,NA,12,NA,13,37,7,11,3,0,"CO05021",68.0714285714286
0,0,0,8,0,10,51,24,37,16,15,40,10,71,131,47,"CO05030",28.75
0,0,50,0,4,21,0,22,39,48,31,149,5941,274,286,51,"CO05031",432.25
20,0,0,15,1,48,0,NA,16,24,19,209,46,152,147,71,"CO05034",51.2
120,0,135,0,0,7,0,NA,0,0,14,27,11,12,68,1,"CO05036",26.3333333333333
0,0,0,0,0,0,0,NA,7,1,NA,61,6,34,75,32,"CO05038",15.4285714285714
0,0,160,0,3,248,45,26,102,2050,46,191,5045,335,352,65,"CO05040",541.75
0,60,25,40,55,22,0,NA,86,43,16,45,40,73,40,13,"CO05042",37.2
0,2800,0,0,0,30,0,NA,0,6,NA,40,10,21,20,5,"CO05044",209.428571428571
550,395,1420,824,746,1443,1287,1314,1634,2635,2575,2983,767,1070,1058,362,"CO05045",1316.4375
0,259,60,4,0,0,3,9,49,10,NA,211,21,197,145,36,"CO05051",66.9333333333333
0,0,0,1025,1648,708,993,1747,79,153,34,47,249,79,56,23,"CO05055",427.5625
0,0,0,0,16,10,0,NA,0,0,NA,0,0,67,56,9,"CO05059",11.2857142857143
0,550,212,98,63,71,39,9,77,66,46,91,55,112,119,40,"CO05079",103
0,0,0,0,0,0,0,NA,0,NA,4,22,3,9,29,7,"CO05086",5.28571428571429
600,20,313,668,549,723,397,568,734,3175,4924,3115,1423,615,607,346,"CO05088",1173.5625
0,100,0,0,6,0,0,8,15,5,17,22,0,17,34,7,"CO05091",14.4375
550,1522,101,0,3,12,29,31,18,44,73,169,39,68,46,16,"CO05093",170.0625
0,0,0,0,0,24,19,NA,6,19,14,92,29,87,82,14,"CO05101",25.7333333333333
0,124,0,4,21,0,0,16,12,21,9,163,8,416,372,129,"CO05107",80.9375
18,22,2550,0,0,15,32,NA,19,0,6,31,7,50,81,22,"CO05113",190.2
40,0,410,5,14,85,0,25,87,170,138,1579,664,1231,627,358,"CO05120",339.5625
0,0,0,0,16,5,0,20,0,24,11,151,10,76,60,34,"CO05125",25.4375
0,0,120,53,129,19,48,37,42,32,25,87,90,68,135,29,"CO05129",57.125
0,50,0,0,6,0,0,NA,0,6,19,151,15,157,127,58,"CO05134",39.2666666666667
40,50,150,0,21,7,0,7,6,25,20,206,27,128,123,38,"CO05138",53
0,0,0,0,0,0,0,NA,0,NA,NA,34,16,31,14,3,"CO05142",7.53846153846154
0,0,45,0,0,0,0,NA,0,0,NA,17,4,10,7,0,"CO05145",5.92857142857143
3150,1000,1890,177,31,75,135,85,215,174,298,297,251,359,409,142,"CO05147",543
0,198,423,204,756,246,328,44,157,27,49,89,38,51,65,21,"CO05148",168.5
0,30,10,37,0,0,0,NA,0,NA,1,10,2,17,7,1,"CO05150",8.21428571428571
160,0,250,276,100,143,376,126,271,568,762,3323,1009,835,866,272,"CO05154",583.5625
360,395,280,150,0,40,88,58,106,389,221,681,298,937,458,165,"CO05172",289.125
34,0,85,0,0,0,23,9,2,26,9,49,55,33,27,20,"CO05190",23.25
0,2325,0,93,449,1280,46,35,176,58,56,80,30,65,106,25,"CO05197",301.5
57,75,255,45,66,6,0,NA,0,5,17,12,1,5,0,0,"CO05206",36.2666666666667
198,35,80,0,12,7,0,11,11,7,10,80,15,70,57,10,"CO05209",37.6875
0,0,60,67,110,26,59,38,76,87,98,61,170,43,70,23,"CO05212",61.75
694,202,183,25,163,1006,42,75,106,235,96,616,57,489,221,69,"CO05234",267.4375
0,0,0,0,12,522,15,NA,21,68,66,16,47,68,37,11,"CO05237",58.8666666666667
0,0,0,20,0,5,0,NA,0,0,9,41,0,52,33,8,"CO05240",11.2
0,1400,110,31,0,218,51,20,86,93,49,772,180,786,2336,477,"CO05250",413.0625
0,0,0,0,0,0,0,NA,7,0,NA,9,17,7,15,4,"CO05264",4.21428571428571
0,0,323,55,34,170,73,61,76,74,124,43,688,40,41,1,"CO05266",112.6875
0,0,0,0,0,0,0,NA,0,7,7,30,36,13,50,20,"CO05282",10.8666666666667
165,1000,55,20,74,23,0,16,18,53,58,182,39,157,114,27,"CO05284",125.0625
0,0,0,0,0,0,0,NA,0,5,12,13,0,7,20,11,"CO05306",4.53333333333333
0,0,134,52,10,0,58,21,24,24,32,9,78,21,63,67,"CO05308",37.0625
0,60,0,0,0,0,0,NA,0,NA,NA,21,13,19,22,12,"CO05310",11.3076923076923
465,80,449,2136,410,590,79,274,34,188,26,45,24,38,10,12,"CO05313",303.75
0,0,0,0,15,0,0,NA,4,0,NA,74,10,75,34,6,"CO05315",15.5714285714286
0,40,144,93,19,71,17,36,79,47,46,19,66,27,16,15,"CO05318",45.9375
86,0,229,7,12,0,0,9,0,17,NA,8,8,3,5,3,"CO05321",25.8
0,140,60,0,0,0,0,NA,0,1,NA,16,12,44,19,9,"CO05347",21.5
0,0,0,0,0,0,0,NA,0,0,NA,1,0,17,10,6,"CO05353",2.42857142857143
0,19,230,374,177,199,243,173,215,380,602,511,1188,480,472,100,"CO05360",335.1875
261,4050,820,1420,13,1608,166,23,594,565,1722,2176,828,928,742,225,"CO05361",1008.8125
41,0,40,0,0,0,3,16,7,8,3,40,0,31,20,13,"CO05364",13.875
0,0,0,0,0,0,19,NA,0,0,NA,18,10,16,1,1,"CO05368",4.64285714285714
0,400,268,84,237,164,304,96,122,126,189,34,41,36,19,13,"CO05376",133.3125
0,0,55,36,55,31,40,15,29,47,79,23,84,109,108,9,"CO05380",45
0,0,63,0,4,0,0,NA,0,1,NA,27,8,24,3,3,"CO05390",9.5
0,700,60,105,163,99,52,31,67,59,30,37,28,38,32,0,"CO05400",93.8125
25,0,0,0,0,0,0,16,0,1,8,31,20,33,21,5,"CO05411",10
0,0,0,14,32,7,0,9,14,35,36,67,8,33,32,10,"CO05425",18.5625
0,222,413,282,311,86,90,26,42,97,76,41,84,43,34,13,"CO05440",116.25
0,0,212,0,46,19,0,NA,7,8,NA,28,3,32,35,2,"CO05467",28
0,3057,770,14,0,294,47,NA,37,25,NA,45,0,39,38,6,"CO05475",312.285714285714
1080,198,207,125,10,84,0,3092,286,318,411,229,37,596,278,50,"CO05480",437.5625
0,0,10,30,260,151,164,1366,122,21,23,110,50,85,168,61,"CO05483",163.8125
55,52,116,78,0,21,0,NA,40,2,34,284,4,245,280,65,"CO05490",85.0666666666667
100,0,125,0,0,43,223,14,63,500,112,1640,248,388,267,106,"CO05495",239.3125
0,0,0,0,0,0,0,NA,0,0,NA,34,0,4,27,8,"CO05501",5.21428571428571
0,72,389,22,437,24,0,50,3,9,16,26,17,67,21,26,"CO05541",73.6875
0,400,5535,0,24,396,0,NA,8,11,7,222,7,30,67,23,"CO05543",448.666666666667
0,0,0,25,0,12,0,NA,0,1,5,22,4,47,30,3,"CO05576",9.93333333333333
0,0,108,79,48,10,55,9,4,57,48,471,86,473,518,104,"CO05579",129.375
5,0,1250,870,4,25,38,NA,34,5,7,69,4,91,51,42,"CO05585",166.333333333333
39,0,897,178,182,125,57,11,73,45,27,85,31,46,62,7,"CO05591",116.5625
281,450,715,30,41,13,28,27,792,40,80,155,124,1006,498,59,"CO05604",271.1875
0,322,296,4,1,25,0,NA,7,36,NA,4,8,9,10,0,"CO05607",51.5714285714286
0,400,394,417,620,746,241,171,212,247,154,69,181,138,60,31,"CO05615",255.0625
95,15,415,0,0,5,0,NA,1,0,9,147,15,91,129,42,"CO05628",64.2666666666667
0,0,131,74,63,14,32,NA,60,28,35,123,56,20,12,9,"CO05631",43.8
