"","Var1.x","Freq.x","name.x","admin1Pcod","Var1.y","Freq.y","name.y"
"1","Amazonas",11,"Amazonas","CO91","AMAZONAS",11,"AMAZONAS"
"2","Antioquia",125,"Antioquia","CO05","ANTIOQUIA",125,"ANTIOQUIA"
"3","Arauca",7,"Arauca","CO81","ARAUCA",7,"ARAUCA"
"4","Arauca",7,"Arauca","CO81","CAUCA",42,"CAUCA"
"5","Atlántico",23,"Atlántico","CO08","ATLANTICO",23,"ATLANTICO"
"6","Bogotá D.C.",1,"Bogotá D.C.","CO11","BOGOTA D.C.",1,"BOGOTA D.C."
"7","Bolívar",45,"Bolívar","CO13","BOLIVAR",46,"BOLIVAR"
"8","Boyacá",123,"Boyacá","CO15","BOYACA",123,"BOYACA"
"9","Caldas",27,"Caldas","CO17","CALDAS",27,"CALDAS"
"10","Caquetá",16,"Caquetá","CO18","CAQUETA",16,"CAQUETA"
"11","Casanare",19,"Casanare","CO85","CASANARE",19,"CASANARE"
"12","Cauca",41,"Cauca","CO19","ARAUCA",7,"ARAUCA"
"13","Cauca",41,"Cauca","CO19","CAUCA",42,"CAUCA"
"14","Cesar",25,"Cesar","CO20","CESAR",25,"CESAR"
"15","Chocó",31,"Chocó","CO27","CHOCO",30,"CHOCO"
"16","Córdoba",28,"Córdoba","CO23","CORDOBA",30,"CORDOBA"
"17","Cundinamarca",116,"Cundinamarca","CO25","CUNDINAMARCA",116,"CUNDINAMARCA"
"18","Guainía",9,"Guainía","CO94","GUAINIA",9,"GUAINIA"
"19","Guaviare",4,"Guaviare","CO95","GUAVIARE",4,"GUAVIARE"
"20","Huila",37,"Huila","CO41","HUILA",37,"HUILA"
"21","La Guajira",14,"La Guajira","CO44","LA GUAJIRA",15,"LA GUAJIRA"
"22","Magdalena",30,"Magdalena","CO47","MAGDALENA",30,"MAGDALENA"
"23","Meta",29,"Meta","CO50","META",29,"META"
"24","Nariño",64,"Nariño","CO52","NARIÑO",64,"NARIÑO"
"25","Putumayo",13,"Putumayo","CO86","PUTUMAYO",13,"PUTUMAYO"
"26","Quindío",12,"Quindío","CO63","QUINDIO",12,"QUINDIO"
"27","Risaralda",14,"Risaralda","CO66","RISARALDA",14,"RISARALDA"
"28","Santander",87,"Santander","CO68","SANTANDER",87,"SANTANDER"
"29","Sucre",26,"Sucre","CO70","SUCRE",26,"SUCRE"
"30","Tolima",47,"Tolima","CO73","TOLIMA",47,"TOLIMA"
"31","Vaupés",6,"Vaupés","CO97","VAUPES",6,"VAUPES"
"32","Vichada",4,"Vichada","CO99","VICHADA",4,"VICHADA"
"33","Norte de Santander",40,"Norte de Santander","CO54",NA,NA,NA
"34","San Andrés y Providencia",1,"San Andrés y Providencia","CO88",NA,NA,NA
"35","Valle del Cauca",42,"Valle del Cauca","CO76",NA,NA,NA
"36",NA,NA,NA,NA,"CONSULADOS",64,"CONSULADOS"
"37",NA,NA,NA,NA,"NORTE DE SAN",40,"NORTE DE SAN"
"38",NA,NA,NA,NA,"SAN ANDRES",2,"SAN ANDRES"
"39",NA,NA,NA,NA,"VALLE",42,"VALLE"
