"admin2Pcod","mesas_informadas","mesas_instaladas","personas_habilitadas","votos_validos","votos_no_marcados","votos_nulos","votos_si","votos_no"
"CO91001",82,82,34592,8866,40,84,4403,4463
"CO91263",2,2,743,221,0,2,170,51
"CO91405",3,3,1030,362,1,3,300,62
"CO91407",3,3,1008,214,1,1,189,25
"CO91430",1,1,18,5,0,0,4,1
"CO91460",2,2,477,96,0,0,89,7
"CO91530",1,1,259,57,1,1,52,5
"CO91536",1,1,405,119,0,0,97,22
"CO91540",10,10,4317,1104,32,17,830,274
"CO91669",2,2,642,141,0,2,125,16
"CO91798",3,3,1304,333,7,4,265,68
"CO05001",3346,3346,1508418,684721,3309,6754,253548,431173
"CO05002",39,39,15274,3401,194,52,1296,2105
"CO05004",6,6,1938,545,14,13,213,332
"CO05021",11,11,4577,1662,51,22,966,696
"CO05030",53,53,22028,6223,53,94,2084,4139
"CO05031",40,40,16928,3614,132,72,1310,2304
"CO05034",76,76,34842,8922,78,93,3193,5729
"CO05036",14,14,5679,1557,9,23,553,1004
"CO05038",23,23,9154,1794,57,84,705,1089
"CO05040",30,30,11144,2717,227,40,1764,953
"CO05042",48,48,19732,5341,52,102,2041,3300
"CO05044",14,14,5715,1103,31,16,363,740
"CO05045",201,201,89196,27131,352,478,14195,12936
"CO05051",52,52,21448,5628,181,57,3691,1937
"CO05055",19,19,6627,2001,41,23,650,1351
"CO05059",12,12,4844,977,23,26,301,676
"CO05079",92,92,38541,12866,287,277,4200,8666
"CO05086",14,14,4807,1584,16,17,687,897
"CO05088",679,679,318411,119764,509,1577,43642,76122
"CO05091",19,19,8372,1576,11,22,466,1110
"CO05093",33,33,13377,2924,50,49,1005,1919
"CO05101",60,60,24029,5519,57,60,1644,3875
"CO05107",19,19,6169,1971,62,45,1367,604
"CO05113",19,19,6829,1364,22,20,474,890
"CO05120",48,48,19788,3864,57,83,2506,1358
"CO05125",15,15,6091,1514,43,43,593,921
"CO05129",129,129,60580,25441,123,397,9292,16149
"CO05134",15,15,6360,1223,32,41,619,604
"CO05138",33,33,13402,4650,113,121,1911,2739
"CO05142",14,14,4856,1171,16,12,578,593
"CO05145",14,14,5231,1358,33,26,568,790
"CO05147",98,98,41461,11384,159,190,5327,6057
"CO05148",80,80,33070,16315,163,272,5528,10787
"CO05150",11,11,4081,1105,22,23,464,641
"CO05154",162,162,66133,20296,247,368,8801,11495
"CO05172",89,89,44791,12067,138,187,6322,5745
"CO05190",26,26,11434,2921,33,63,1084,1837
"CO05197",34,34,12965,4653,130,81,1647,3006
"CO05206",10,10,4409,1503,23,27,572,931
"CO05209",38,38,16027,3079,55,50,998,2081
"CO05212",127,127,62062,24587,323,369,9535,15052
"CO05234",41,41,16986,4593,166,99,2971,1622
"CO05237",39,39,16576,5269,41,71,1371,3898
"CO05240",29,29,11421,2755,59,32,967,1788
"CO05250",85,85,36056,7223,141,156,3167,4056
"CO05264",18,18,7957,2634,16,30,868,1766
"CO05266",507,507,232003,105055,872,1061,37800,67255
"CO05282",46,46,18196,4767,27,64,1703,3064
"CO05284",46,46,16785,3892,68,78,2148,1744
"CO05306",10,10,3946,1223,11,17,666,557
"CO05308",111,111,47612,16768,90,277,6088,10680
"CO05310",20,20,8404,2100,31,61,772,1328
"CO05313",24,24,10270,3502,75,53,1382,2120
"CO05315",16,16,5656,1301,40,47,714,587
"CO05318",77,77,31687,14474,116,214,3870,10604
"CO05321",15,15,6523,3198,26,37,1232,1966
"CO05347",16,16,6157,1427,36,29,632,795
"CO05353",13,13,5219,1113,18,11,459,654
"CO05360",527,527,245703,94793,426,1344,35166,59627
"CO05361",48,49,17406,3902,139,116,2706,1196
"CO05364",28,28,12094,4504,46,44,1620,2884
"CO05368",27,27,11023,3298,36,39,957,2341
"CO05376",97,97,44306,22304,171,325,6715,15589
"CO05380",108,108,50695,18441,88,194,6725,11716
"CO05390",15,15,6588,2406,22,31,1017,1389
"CO05400",38,38,16219,7333,60,136,2551,4782
"CO05411",24,24,9204,2607,56,40,933,1674
"CO05425",19,19,7467,1842,31,26,777,1065
"CO05440",76,76,38176,17474,103,190,5481,11993
"CO05467",15,15,6043,1729,63,35,953,776
"CO05475",9,9,2724,1117,19,14,1073,44
"CO05480",33,33,13626,2862,119,49,1846,1016
"CO05483",25,25,9015,2412,70,31,786,1626
"CO05490",76,76,32486,7219,101,155,4359,2860
"CO05495",44,44,18186,3736,41,57,1937,1799
"CO05501",7,7,2719,722,11,7,273,449
"CO05541",36,36,15806,5297,63,55,2032,3265
"CO05543",18,18,6089,2240,48,43,1632,608
"CO05576",17,17,7113,1731,32,24,593,1138
"CO05579",84,84,34085,8826,86,116,2780,6046
"CO05585",31,31,12202,3881,38,55,2281,1600
"CO05591",32,32,12982,3830,30,42,1007,2823
"CO05604",40,40,17020,3415,38,126,1186,2229
"CO05607",35,35,15100,6848,45,58,2145,4703
"CO05615",214,214,94806,46957,197,637,14361,32596
"CO05628",18,18,7052,2279,44,41,778,1501
"CO05631",125,125,59616,26858,39,285,9955,16903
"CO05642",33,33,13483,2403,47,24,782,1621
"CO05647",16,16,5184,1570,66,65,706,864
"CO05649",34,34,13944,5087,60,95,2390,2697
"CO05652",14,14,6140,1561,50,26,660,901
"CO05656",29,29,11911,3395,39,41,1260,2135
"CO05658",8,8,3164,984,25,23,363,621
"CO05659",42,42,17433,4042,43,33,2677,1365
"CO05660",28,28,10748,3571,37,36,890,2681
"CO05664",45,45,18915,7175,50,106,1841,5334
"CO05665",61,61,25244,4042,42,62,2060,1982
"CO05667",29,29,12155,3752,51,258,1457,2295
"CO05670",35,35,14580,4334,53,79,1786,2548
"CO05674",42,42,16445,5880,67,80,1642,4238
"CO05679",51,51,22078,5889,67,107,2101,3788
"CO05686",64,64,25810,9911,90,279,2984,6927
"CO05690",24,24,9178,2766,56,107,1085,1681
"CO05697",62,62,26217,12349,122,150,3329,9020
"CO05736",62,62,26169,4589,27,68,1516,3073
"CO05756",77,77,27198,8869,158,266,2319,6550
"CO05761",30,30,12063,4141,58,60,1875,2266
"CO05789",35,35,14473,4468,59,52,1579,2889
"CO05790",62,62,26186,5788,90,110,3477,2311
"CO05792",14,14,5883,1194,22,14,503,691
"CO05809",22,22,8726,2104,37,39,742,1362
"CO05819",11,11,4383,1305,61,63,798,507
"CO05837",196,196,84866,20265,277,371,11378,8887
"CO05842",16,16,6351,1764,24,37,951,813
"CO05847",55,55,22361,5603,123,138,2644,2959
"CO05854",29,29,12054,2141,63,57,1072,1069
"CO05856",15,15,5665,1490,22,22,597,893
"CO05858",24,24,10165,1771,44,22,503,1268
"CO05861",28,28,10977,2864,26,26,1097,1767
